,head,relation,tail
2020,It requires taking as much as a trillion dollars out of the Social Security fund,__label__Support,The deeper I got the drier the well became and it seemed to me at the end it was going to dry up Social Security
2021,we passed it in the United States Senate,__label__Support,He did block it
2022,That helps lower prices,__label__Support,We give you broader competition
2023,"a lot of you I think are worried about your jobs, your pensions, your retirement accounts, your ability to send your child or your grandchild to college",__label__Support,I believe this is a final verdict on the failed economic policies of the last eight years
2024,we've gone exactly in the opposite direction,__label__Support,we are in trouble
2025,Do you realize that today we are producing Hondas and exporting Hondas to Japan,__label__Support,"by coming over here, and making investments in this country, we are seeing jobs"
2026,"incentives for investment in the inner city area, and, yes, enterprise zones",__label__Attack,"Vice President Quayle said they're important, but George Bush eliminated them from his urban plan"
2027,I knew Jack Kennedy,__label__Support,"Senator, you are no Jack Kennedy"
2028,we also have people sicker,__label__Support,We got to have health care for all Americans
2029,"With respect to Al Gore and Joe's plan, they don't reform Social Security",__label__Attack,Al Gore and I are going to guarantee Social Security and add to it the retirement savings plan that I mentioned earlier which will help middle-class families looking forward
2030,He also said in December of 2003 that anyone who doubts that the world is safer without Saddam Hussein does not have the judgment to be president,__label__Support,I agree with him
2031,"Enforcement of law, and the federal government can help",__label__Support,To me that's how you make society the safest it can be
2032,then said it would be better to do nothing than to have a compromise effort with the Congress,__label__Support,He really didn't have a new economic program until over 1300 days into his presidency
2033,in the next ten years the balance of power is going to begin to move in the world from one direction or another,__label__Support,I believe it's essential that we do it
2034,Obamacare has been an extraordinary deterrent to enterprises of all kinds hiring people,__label__Support,"I want to make sure that regulators see their job as encouraging small business, not crushing it"
2035,"I want to give every middle-class family a $10,000 a year tax deduction for college tuition",__label__Support,middle-class families will always be able to send their kids on to college
2036,"that they are bad, and we ought to do something about them",__label__Support,I didn't say we had the worst slums in the world
2037,The record does not show that,__label__Support,I was against the war in Iraq
2038,"But just a few weeks ago, you said you think we should have more troops in Iraq right now",__label__Support,You said that we should still have troops in Iraq to this day
2039,"it does exactly what you say, and I think you agree with that, to help Russian democracy",__label__Support,it's a very good thing
2040,"That's what Eleanor Holmes Norton wants to do in the District of Columbia and this administration said to D.C., Drop dead. Drop dead",__label__Support,"The answer is to say, once again, green-line any area in America that has been red-lined for lack of mortgage money, lack of credit and capital"
2041,"which is less than three cents a day per person for medical care, doctors' bills, nurses, hospitals, when they retire",__label__Support,It is actuarially sound
2042,I'm not going to do that as commander-in-chief,__label__Support,I think I'm on the right track
2043,It could also be lots of other people,__label__Support,I don't—maybe it was
2044,"I think there's quite a difference between Mr. Kyprianou in Cyprus and the leader of the free world, Ronald Reagan, in terms of meeting",__label__Attack,"They're people like Mitterrand of France and Kohl of Germany and President Kiprianou of Cyprus - you go down the list, five pages of people that the Soviet leaders have managed to meet with"
2045,He hasn't had a tough cross-examination-type press conference in over thirty days,__label__Support,Mr. Ford exclude himself from access to the public
2046,not only the energy of today,__label__Support,also the energy of the future
2047,we always have to stand up for democracy,__label__Attack,"I think it's very important to the United States, obviously, to have a working relationship that is good"
2048,"I have stated that it's my best judgment that our agricultural program will cost a billion and a half, possibly two billion dollars less than the present agricultural program",__label__Support,I believe in a balanced budget and have supported that concept during my fourteen years in the Congress
2049,if you are lowering the rates the way you described,__label__Support,it is not possible to come up with enough deductions and loopholes that only affect high-income individuals to avoid either raising the deficit or burdening the middle class
2050,The embryo had already been destroyed prior to my decision,__label__Support,Those stem- cells lines already existed
2051,they are deeply concerned that we have taken the American dream from them,__label__Support,An incredible number of young people are active in supporting my effort
2052,I want you to notice how the president switched away from jobs and started talking about education principally,__label__Attack,the best way to keep jobs here in America and to keep this economy growing is to make sure our education system works
2053,The grain sales have been a benefit to American agriculture,__label__Support,We have achieved a five and three quarter year uh - sale of a minimum six million metric tons
2054,We're the reform party,__label__Support,"we're going to make things better, and one of the things we're going to do is stop exporting jobs"
2055,I'm a year ahead of schedule,__label__Support,that's what this country should be doing
2056,"Once the uh - search and analysis procedure had been completed, and once I'm given a list of the five or seven or ten uh - best qualified persons in the country, I would make a selection from among those uh - persons",__label__Support,I answered it by saying that it would be on the basis of merit
2057,"There are alternatives to accomplish the objective I have, which is to bring down rates, broaden the base, simplify the code, and create incentives for growth",__label__Support,"I'm going to work together with Congress to say, OK, what -- what are the various ways we could bring down deductions"
2058,I believe it's not just a matter of idealism,__label__Attack,This is a deviation from idealism
2059,I would pick somebody who would not allow their personal opinion to get in the way of the law,__label__Support,I would pick somebody who would strictly interpret the Constitution of the United States
2060,You're going to have 120 to 150 new members of Congress,__label__Support,"if the people really have a mind to change, they can"
2061,It is actually a disagreement between us,__label__Support,"a national law that is pending on this, the Dingle-Norwood bill, a bipartisan bill, is one that I support and that the governor does not"
2062,I'll get incomes up again,__label__Attack,There's no question in my mind that if the president were to be reelected you'll continue to see a middle-class squeeze with incomes going down and prices going up
2063,I have the kind of commitment to ensure that our industries in this country can compete and be successful,__label__Support,We in this country can -- can compete successfully with anyone in the world
2064,tonight we're going to hear some phony numbers about what I think and what we ought to do,__label__Attack,I fought hard from my days in the Senate and as vice president to cut the welfare rolls
2065,whether it's supporting religious minorities,__label__Support,the President of the United States and the United States of America has stood on the right side of history
2066,I have been an original co-sponsor of the Employment Non-Discrimination Act which aims to prevent gay and lesbian Americans who are otherwise qualified from being discriminated against in the workplace,__label__Support,In our time at the frontier of that effort is extending those kinds of rights to gay and lesbian Americans who are citizens of this country and children of the same awesome God just as much as any of the rest of us are
2067,Some of these weapons have 10 megatons of explosion,__label__Support,This is a formidable force
2068,"he was a uniter, not a divider",__label__Support,The president said that he would unite this country
2069,It shouldn't be politicized in any way by the President or by his opponent,__label__Support,I don't intend to politicize it
2070,we'll have more trade,__label__Support,I want to add more free trade agreements
2071,I want to hasten to add that Senator Bob Dole gave critical bipartisan support at the time,__label__Support,"when there was a crisis involving the Mexican peso, again, President Bill Clinton showed bold and dynamic leadership"
2072,"I don't have a free reserved parking place at Natl Airport, why should my servants",__label__Support,take it away from the special interests and have people go to Washington to serve
2073,we must have a comprehensive strategy to help reject this kind of extremism,__label__Attack,"it presents an enormous threat to our friends, to the world, to America, long term"
2074,"then in my judgment, providing he's behind action",__label__Support,I would have hoped that the president of the United States would have been possible for him to indicate it clearly that uh - the Supreme Court decision was going to be carried out
2075,using that kind of scare rhetoric is just terribly unfortunate,__label__Attack,"If you go with what Hillary is saying, in the ninth month, you can take the baby and rip the baby out of the womb of the mother just prior to the birth of the baby"
2076,the Bush administration reversed course on this,__label__Support,we have at least made some progress
2077,We'll continue to build strong coalitions,__label__Attack,I will never turn over our national- security decisions to leaders of other countries
2078,our commanding general did say that,__label__Attack,"Well, first, McClellan did not say definitively the surge principles would not work in Afghanistan"
2079,prescription drugs are up 12 percent a year,__label__Support,This president has taken a $5. 6 trillion surplus and turned it into deficits as far as the eye can see
2080,Give them a tax moratorium for a period if they build and develop there,__label__Support,why don't we offer incentives for business and industry to start up in those zones?
2081,"they also get, whether they're self-employed or a small business, a lower cost to be able to cover their employees",__label__Support,I got a better plan
2082,we don't screen the cargo,__label__Support,we still don't have one list that everyone can work off of to see if terrorists are entering this country
2083,"Their son, Brett, was in the bed next to our son and they couldn't pay their medical bills",__label__Support,"They used to live in Atlanta, but they lost their house"
2084,I think it's clearly manmade,__label__Attack,"And, look, this probably explains the biggest fundamental difference between John McCain and Barack Obama and Sarah Palin and Joe Biden -- Governor Palin and Joe Biden"
2085,"while you were focused on Iraq, you said well, we can ""muddle through"" Afghanistan",__label__Support,it is not true you have consistently been concerned about what happened in Afghanistan
2086,our efforts at isolation have actually accelerated their efforts to get nuclear weapons,__label__Support,this notion that by not talking to people we are punishing them has not worked
2087,"They bring their crops in or their livestock in, many of them about the same time.",__label__Support,therefore the farmer is not in a position to bargain very effectively in the market place.
2088,I went and got a computer printout,__label__Support,"It's five pages of the leaders, world leaders, that the Soviet leaders have met with, and they're not little people"
2089,you can't be on all these different sides,__label__Support,That's my big difference with him on the draf
2090,I simply don't want to see the ratings on movies,__label__Support,these are all positions of the ACLU
2091,There are things we can do like the Kassebaum bill,__label__Support,We still need to cover about 20million people and a lot of children
2092,it's also a tremendous indication that under the Ford administration we have not addressed the energy policy adequately,__label__Support,it's an overall sign of weakness
2093,He didn't demagogue them,__label__Support,"Mitt Romney was governor of Massachusetts, where 87 percent of the legislators he served, which were Democrats"
2094,Wrong,__label__Attack,That is absolutely proved over and over again
2095,We're making really good progress,__label__Support,We're working hard to sign up children
2096,The IAEA is involved,__label__Support,"On Iran, I hope we can do the same thing, continue to work with the world to convince the Iranian mullahs to abandon their nuclear ambitions"
2097,she knows what it's like to be out there in the marketplace,__label__Support,I like Meg Whitman
2098,"They've always believed in higher taxes; they always have, and they always will",__label__Support,"The road of Michael Dukakis comes down to this: Bigger government, higher taxes"
2099,It's your money,__label__Support,I want to spend 14 percent more and give that 6 percent back to the people
2100,we have to stop our jobs from being stolen from us,__label__Support,we can't allow it to happen anymore
2101,we're working on three or four other areas now,__label__Support,that's what our trade ambassador our commerce secretary and all the other people in our administration are trying to do
2102,"I was someone who ran businesses for 25 years, and balanced the budget",__label__Support,Well of course they add up
2103,He's just not credible when he talks about being fiscally conservative,__label__Attack,I will not raise taxes
2104,"We have thumbprint, fingerprint technology today",__label__Support,we're not doing what we ought to do in terms of the technology
2105,the gang offered support,__label__Support,it offered leadership
2106,for the last four years we have worked had to put more and more pressure on the Castro government to bring about more openness and move toward democracy,__label__Attack,"The sooner the better off we'll be, if you put tougher sanctions on Castro, not try to make it easier for him"
2107,his policies haven't worked,__label__Support,It's about who can get the middle class in this country a bright and prosperous future and assure our kids the kind of hope and optimism they deserve
2108,"He had to pay an $850,000 fine to one of the women",__label__Support,"o you can say any way you want to say it, but Bill Clinton was abusive to women."
2109,We'll give you all the equipment you need,__label__Support,this is a vital mission
2110,"We came in with the Internet, we came up with the Internet, and I think Secretary Clinton and myself would agree very much, when you look at what ISIS is doing with the Internet, they're beating us at our own game",__label__Support,under President Obama we've lost control of things that we used to have control over
2111,Our country's in deep trouble,__label__Support,that's the kind of thinking that our country needs
2112,the highest job growth rate of any state when I ran for president,__label__Attack,that's your record
2113,I don't want to kill jobs in this environment,__label__Attack,You raise taxes and you kill jobs
2114,The Soviet Union is still jamming Radio Free Europe,__label__Support,"apparently Mr. Ford has just endorsed, which said that there's an organic linkage between the Eastern European countries and the Soviet Union."
2115,It's sort of their golden oldie,__label__Support,"this liberal charge, that's what their party always drags out when they get in a tight race"
2116,"The Obama administration, from the time they've come in, is over 230 years' worth of debt, and he's topped it",__label__Support,You can't do what you're looking to do with $20 trillion in debt
2117,"And there's a need for fundamental change in our economic philosophy, as well as our foreign policy",__label__Support,"And Barack Obama and I don't measure progress toward that change based on whether or not we cut more regulations and how well CEOs are doing, or giving another $4 billion in tax breaks to the Exxon Mobils of the world"
2118,if we worked at it,__label__Support,if we were ready to work and letting Hans Blix do his job and thoroughly go through the inspections
2119,We don't like it,__label__Attack,The other is struggling to perfect their democracy
2120,I will strictly adhere to the law,__label__Attack,This is an issue they've brought up
2121,We can't sanction them any more,__label__Support,we've already sanctioned Iran
2122,That's how in banking it works,__label__Support,They will find a state
2123,We have men and women wearing our uniform in substandard housing,__label__Support,It shouldn't happen in America
2124,I have not heard those numbers with respect to African- American women,__label__Support,"Here in the United States, we've made significant progress"
2125,Their party's not been big on Medicare from the beginning,__label__Support,"Look, folks, use your common sense"
2126,Or India,__label__Attack,"it's estimated that that will create 800,000 new jobs"
2127,the way we already have during my administration,__label__Support,"It means that the teacher that I met in Las Vegas, a wonderful young lady, who describes to me -- she's got 42 kids in her class"
2128,It's one of the best schools in Houston,__label__Support,"Here are the key ingredients. High expectations, strong accountabily"
2129,"they say, if a patient's coming in, let's get all the doctors together at once, do one test instead of having the patient run around with 10 tests",__label__Support,the reason they do is because they do some smart things
2130,It was a nation building mission,__label__Support,I didn't think it was a mission worthwhile
2131,It's not that Dodd-Frank always was wrong with too much regulation,__label__Support,Sometimes they didn't come out with a clear regulation
2132,This year,__label__Attack,Mr. Bush's Bureau of Labor Statistics says that Arkansas ranks first in the country in the growth of new jobs this year
2133,I think Captain Miller's testimony to that effect is the best evidence,__label__Support,we handled it responsibly
2134,I talked to all of them to find out how serious they were about really holding Saddam Hussein accountable,__label__Support,they'd be there with us
2135,He apparently wants to spend billions on the MX on railroad cars,__label__Attack,a weapons system we don't need and can't afford
2136,The farmer plants in the spring and harvests in the fall.,__label__Support,they're not able to control their market very well.
2137,"If you put 50 tons of TNT in each one of railroad cars, you would have a carload of TNT - a trainload of TNT stretching across this nation",__label__Support,That's one major war explosion in a warhead
2138,"He started his business with $14 million, borrowed from his father",__label__Support,"You know, Donald was very fortunate in his life, and that's all to his benefit"
2139,I think uh - the way to get tax equity in this country is to give tax relief to the middle-income people who have an income from roughly $8 thousand up to twenty-five or thirty thousand dollars,__label__Support,"I believe in tax equity for the middle-income taxpayer, increasing the personal exemption"
2140,She won’t say the name and President Obama won’t say the name,__label__Support,she won’t even mention the word and nor will President Obama
2141,"If drugs were legal, I don't think he'd be alive today",__label__Support,I am adamantly opposed to legalizing drugs
2142,That's not what happens in Washington,__label__Support,I understand your frustration and your cynicism
2143,I'm not running for the Presidency because I believe that I can solve the problems we've discussed tonight,__label__Support,"I believe the people of this country can, and together, we can begin the world over again"
2144,It's a $500 per child tax credit,__label__Support,it's a six-point package
2145,there will be,__label__Support,we're making progress there
2146,We still have no comprehensive energy policy in this country,__label__Support,it's also a tremendous indication that under the Ford administration we have not addressed the energy policy adequately
2147,"he gave specifics of what he was going to cut, number one, in terms of tax expenditures",__label__Support,I was there when Ronald Reagan tax breaks
2148,I want to add more free trade agreements,__label__Support,my five point plan is so different than what he would have done
2149,Affirmative action isn't quotas,__label__Attack,that's a red herring
2150,"We've done about all, we are the reform party, the Republican Party",__label__Support,we need campaign finance reform
2151,He is not captured,__label__Support,bin Laden is still out there
2152,They want to make sure that they have a roof over their heads and that they have the prospects of a better life in the future,__label__Support,Their aspirations are similar to young people's here
2153,"Let me just say that I'd be happy to give the vice-president the name of my accountant, but I warn you, he's expensive.",__label__Attack,notice she said she has a new good accountant. I'd like to get his name and phone number
2154,There will always be problems in this whole world,__label__Attack,"In Northern Ireland, in the Middle East we are better off than we were four years ago"
2155,"after World War I, we had, you know, a policy of disengagement",__label__Support,Then from World War I to World War II we had sort of a compulsory engagement policy
2156,there are 50 or 60 different options,__label__Support,It's obvious that there are certain things that have to be done
2157,We ought to agree that somebody else should do it,__label__Support,"we're going to get it when we have a bipartisan commission, take it out of politics"
2158,"In 1977, we took that away from the military",__label__Support,That meant immediately 46% of your people that were signing up had no reason for signing up
2159,all of us are going to make sacrifices,__label__Support,"it means that, yes, we may have to cut some spending"
2160,We only have ten divisions now,__label__Support,We used to have 18
2161,"In the book you also suggest taxes on gasoline, taxes on utilities, taxes on carbon, taxes on timber",__label__Support,There's a whole host of taxes
2162,we're importing today about one-third less oil from overseas than we did just a year ago,__label__Support,they have done very well
2163,I'll do it again,__label__Support,we need to have leadership -- leadership in Washington that will actually bring people together and get the job done and could not care less if -- if it's a Republican or a Democrat
2164,"his emissary, I think, came home in 12 hours having heard a very definite nyet",__label__Support,The Soviet Union sat at the table knowing that we had gone forward with unilateral concessions without any reciprocation from them whatsoever
2165,That's more than it's had a lot of the time in the last years,__label__Support,I have proposed a budget which would put ten years on the life of the Medicare trust fund
2166,this has cost us deeply in the world,__label__Support,He misled the American people when he said we'd go to war as a last resort
2167,"so do all of her donors, or most of her donors",__label__Support,Her donors took massive tax write-offs.
2168,We had the 10th Mountain Division up in Uzbekistan available,__label__Support,the right thing to do
2169,around the world,__label__Support,the Iranians continue on the path to the acquisition of a nuclear weapon as we speak tonight
2170,"There's legitimate reason for the CIA to be in existence, and that's to gather intelligence information for our security",__label__Support,"The CIA is there, it's meant to protect our government"
2171,four years closer to a nuclear weapon,__label__Support,the greatest threat of all is Iran
2172,The world is more dangerous,__label__Support,I'd have made a better choice
2173,I think it's important for us to develop new sources of energy here in America,__label__Support,I've got a different view
2174,Big parts of the country are still insecure,__label__Support,"what's actually happened in Afghanistan, regardless of this rosy scenario that they paint on Afghanistan, just like they do with Iraq"
2175,whether it's supporting women's rights,__label__Support,whether it's supporting religious minorities
2176,I care about 100 percent of the American people,__label__Support,I understand that I can get this country on track again
2177,I hope people will recognize that this is something pretty good for mankind,__label__Support,I hope they'll think it's good that democracy and freedom is on the move
2178,It's causing high interest rates,__label__Attack,there is no connection between them
2179,One of the things I learned in business is that you can expect what you inspect,__label__Support,"we'd be a - doing a much tougher job of auditing, to try to get rid of some of these kickbacks to consultants on military contracts, to be much more aggressive on that"
2180,"Being a mom, being one who is very concerned about a son in the war",__label__Support,about a special needs child
2181,You've got to go to the people,__label__Support,I think that's the essence of leadership
2182,"we ought to go back to a little bit of Ronald Reagan's ""trust, but verify,"" and certainly not sit down across the table from -- without precondition, as Senator Obama said he did twice",__label__Support,it's just dangerous
2183,"it's not good for our military, to run them down essentially in the midst of a partisan political debate",__label__Support,It's not right
2184,it will cover preexisting conditions,__label__Support,"If you change your job, you're going to be covered"
2185,He can't,__label__Attack,he says he going to tax the rich to close the tax gap
2186,There are two very different issues here,__label__Support,they've got to be dealt with separately
2187,"If they overturned it, it will go back to the states",__label__Support,"It will go back to the states, and the states will then make a determination"
2188,these questions that have been seen many times come up in a new context,__label__Support,you can get a pretty good idea of how they'll interpret questions
2189,"When we did it Reagan, we said, here -- here are the things we're going to cut",__label__Support,we told each other what we're going to do
2190,I'm standing up to the issue with an answer that's fair,__label__Support,I do
2191,They passed the budget,__label__Support,This one is 550
2192,It's what the federal government does to you,__label__Support,Government shouldn't be a heavy hand
2193,They do not pay us,__label__Support,we lose on everything
2194,I repeat it today,__label__Support,We repeated that message when we went to Los Angeles
2195,all the things that we do not want,__label__Support,I do not believe we should have either compulsory arbitration or seizure
2196,"The reason is, is because, when we reform Wall Street, when we tackle the problem of pre-existing conditions, then, you know, these are tough problems and we've got to make choices",__label__Support,the choices we've made have been ones that ultimately are benefiting middle-class families all across the country
2197,They are elderly people who in fact are living off of Social Security,__label__Support,"My friend recently in a speech in Washington said ""30 percent of the American people are takers."""
2198,It hasn't worked,__label__Attack,We're 9 million jobs short of that
2199,I think what others could do for our country and themselves if we did the welfare reform thing in the proper way,__label__Support,the things I do as president are basically driven by the people whose lives I have seen affected by what does or doesn't happen in this country
2200,which is not something that the private sector is doing at a sufficient pace right now and has never done,__label__Support,And if we're not making investments in education and basic research then we will lose the (inaudible) in things like clean energy technology
2201,we can overcome it,__label__Support,All of these things we can do as Americans
2202,Mr. Ford's own uh - environmental agency has projected a 10 percent unemployment rate by 1978 if he's uh - president,__label__Support,we're going to have a fairly high rate of unemployment over a fairly long time
2203,We didn't have the cuts the president promised he'd make and then he doubled,__label__Support,there is a big difference in the defense budget
2204,they are my representatives,__label__Support,nobody is more concerned about their safety and security than I am
2205,"We have now employed eighty-eight million people in America, the largest number in the history of the United States",__label__Support,"For example, as I have said, we have added some four million jobs in the last seventeen months"
2206,"I also promised that I'd fight every single day on behalf of the American people, the middle class, and all those who were striving to get into the middle class",__label__Support,I've kept that promise
2207,I think the mission has somewhat become fuzzy,__label__Attack,The mission must be clear
2208,That's not a grand coalition,__label__Support,We can do better
2209,throughout all that time the people I have fought for have been the middle-class families,__label__Support,I cast my lot with the people even when it means that you have to stand up to some powerful interests who are trying to turn the -- the policies and the laws to their advantage
2210,Particularly some of the smaller producers,__label__Support,the oil industry recently has had hard times
2211,"I firmly believe, uh - Mr. Kraft, that it's unwise for a president to signal in advance what uh - options he might exercise if any uhh - international problem arose",__label__Attack,this was a standard answer that I made in response to the Yugoslavian question
2212,or we can't bring down the deficit,__label__Support,this economy strong again
2213,your co-payments and deductibles have gone up 30 percent just in the last year alone,__label__Support,"If you've got health insurance, most of you have seen your premiums double over the last eight years"
2214,I was in the Oval Office the night when President Clinton dispatched our troops from Ft  Bragg,__label__Support,"The planes were in the air and our negotiators were talking with the dictator down there. And when that dictator got the news from his spies outside the gate that all these planes were taking off, he said, let's get out of here"
2215,"No, of course not",__label__Attack,seems a little early to declare that we should give up on the sanctions
2216,"That's what we've done, made some adjustments to it, and we're putting it forward before Congress right now, a $4 trillion plan",__label__Support,"If you wanted to make some adjustments to it, take it, go to Congress, fight for it"
2217,"helped me pay for college, it helped her go back to college in her 50s where she started a small business because of the new skills she got",__label__Support,I think about what they've done for my own family
2218,"based on the announcement this week, there will be at an annual rate of a million, eight hundred and some thousand new houses built",__label__Support,let's talk about the pluses that came out this week
2219,that upset them,__label__Support,That was the right thing to do
2220,The federal government can get local and -- and state schools to do a better job,__label__Support,the federal government also can play a very important role
2221,I said that we'd go after al-Qaeda and bin Laden,__label__Support,we have
2222,This president has left them in shatters across the globe,__label__Support,we just have a different set of convictions about how you make America safe
2223,"I'm proposing a plan that will give tax credits and tax incentives for the rapid development of new kinds of cars and trucks and buses and factories and boilers and furnaces that don't have as much pollution, that don't burn as much energy, and that help us get out on the cutting edge of the new technologies that will create millions of new jobs",__label__Support,"My plan has not only a short-term component, but also a long-term component"
2224,If I should ever decide in the future to discuss my - my deep Christian beliefs and uh - condemnation and sinfulness,__label__Support,I'll use another forum besides Playboy
2225,that's not how a commander in chief operates,__label__Attack,"Governor Romney put out a press release, trying to make political points"
2226,I think we can save lives,__label__Support,I think we can do ethically guided embryonic stem-cell research
2227,we want a better advantage as Republicans,__label__Support,We are never going to fix it by the parties
2228,"next to jobs, our people are concerned about their safety",__label__Support,have another task force on crime
2229,our bases and outposts are now targets for more aggressive Afghan -- Taliban offenses,__label__Support,"General McKiernan, the commander in Afghanistan right now, is desperate for more help"
2230,"There are different ideas -- the Bush plan, the Perot plan, the Clinton -- we have different ideas",__label__Support,"on Medicare, it is not true that everyone knows how to fix it"
2231,I would continue to negotiate with the Panamanians,__label__Support,I would be willing to go ahead with negotiations
2232,We don't have refinery capacity,__label__Support,we are in trouble
2233,The captains are leaving the service,__label__Support,The warning signs are real
2234,This is a matter of life and death,__label__Support,"The President should lead a national effort to change behavior to keep our children alive in the schools, responsible behavior to keep people alive"
2235,"Hundreds of thousands of National Guard and Reserve members have health care because of work that I did, and children have safer medicines because I was able to pass a law that required the dosing to be more carefully done",__label__Support,"for 30 years, I’ve produced results for people"
2236,"If you can't get your act together to pick him up one day when a Panamanian major has kidnapped him and a special forces team is 400 yards away and it's a stroll across the park to get him, and if you can't get your act together, at least pick up the Panamanian major, who they then killed, step up to the plate and admit it was a mistake",__label__Support,That's leadership
2237,I love teachers,__label__Support,I'm happy to have states and communities that want to hire teachers do that
2238,"he needs to understand that he's not only dealing with Israel, he is dealing -- he's dealing with us if he is making the kind of threats that he's talking about there",__label__Support,I think that we also have to keep a weather eye toward Saddam Hussein
2239,He pushed them away,__label__Support,he's done the opposite
2240,"Buffett took hundreds of millions of dollars, Soros, George Soros, took hundreds of millions of dollars",__label__Support,we're entitled because of the laws that people like her passed to take massive amounts of depreciation on other charges
2241,I strongly supported it,__label__Support,"then Senator Dole's ardent supporters, Senator McCain, who's out there today, along with Senator Feingold, supported, sponsored a campaign finance reform proposal"
2242,"that we gave the weapons inspectors time to find out what we now know, that in fact there were no weapons of mass destruction",__label__Support,it needed to be done the right way
2243,"the way I view it is there's a lot of entrenched special interests there, people who are, you know, on one side of the issue or another",__label__Support,My biggest disappointment in Washington is how partisan the town is
2244,And there are two very different paths the country can take,__label__Attack,"One is a path represented by the president, which at the end of four years would mean we'd have $20 trillion in debt heading towards Greece"
2245,all of the local school districts in the various states then have money which is freed to raise the standards for teachers' salaries.,__label__Support,"the way that you get higher salaries for teachers is to support school construction,"
2246,"that's why I'm trying to do something about it by stimulating the export, vesting more, better education systems",__label__Support,"I think in terms of the recession, of course you feel it when you're president of the US"
2247,You have to have regulation,__label__Support,We're not going to get rid of all regulation
2248,I think about women in business,__label__Support,try to help them with my small business program to build some incentives into the system
2249,the exit strategy needs to be well-defined,__label__Support,the mission of the United States military will be to be prepared and ready to fight and win war
2250,"on the economy, Mr. Bush said for a long time there was no recession",__label__Support,He really didn't have a new economic program until over 1300 days into his presidency
2251,I believe law-abiding citizens ought to be allowed to protect themselves and their families,__label__Support,That's why I'm for instant background checks at gun shows
2252,I don't agree with that,__label__Attack,He has every right to exercise his passion
2253,The size of government increased only one-sixth in California of what it increased in proportion to the population in Georgia,__label__Support,The figures that the President has just used about California is a distortion of the situation there
2254,Why can't we have that once again,__label__Support,"I remember the world with NATO, and the world of Point Four, and the world of the Marshall Plan, and the world of the Peace Corps"
2255,that would give us ten years to do with Medicare what we're going to do with Social Security,__label__Support,the prices we're paying providers without having the kind of big premium increases and out-of-pocket costs that the budget I vetoed would provide
2256,He can't tell you,__label__Attack,he's going to make sure that this doesn't add to the deficit and he's going to cut middleclass taxes
2257,"I understand that both the - the uh - Department of State and the Defense Department have approved the accuracy of today's report, or yesterday's report, and also the National Security Agency",__label__Support,I understand that the report today is accurate
2258,"Does anybody think that Bob Dole, who almost gave his life for his country, who has served in the Senate, who helped save Social Security, crawled out of a fox hole on Riva Ridge in Northern Italy in 1945 to save a wounded radioman? Does anybody think in this country that he could possibly want to move our country ahead and leave anybody behind?",__label__Support,The amount of money being spent to try to mislead the American people is demagoguery
2259,the polls show that the majority of Hispanics want that bill,__label__Support,I'm not doing it for political reasons
2260,have no place else to turn,__label__Support,they scare millions of senior citizens who are totally dependent on Social Security
2261,"Instead our aid continued to Batista, which was ineffective",__label__Support,today Cuba is lost for freedom
2262,"first of all, there are virtually no large differences in the defense budgets put forward by President Clinton and put forward by the majority in the Congress in the last two years",__label__Attack,it's clear that the defense budget of this administration has taken defense as a percent of our national economy to a lower level than it was prior to Pearl Harbor
2263,our purpose is to make sure the world is more -- is peaceful,__label__Support,We want a peaceful planet
2264,Poverty hasn't gone up in this administration,__label__Support,"This administration, and a George Bush administration, will be committed to eradicating poverty"
2265,When you try to do that there is no question but what you just encourage more taking of hostages,__label__Support,you can't trade arms for hostages
2266,almost 30% of it goes to Americans that make more than $1 million per year,__label__Support,$665 billion over ten years for the wealthiest 1%
2267,they had to do with his setting up of a blind trust,__label__Support,"I think if you looked at the deductions, there were great legal expenses in there"
2268,"No one can deny that the last eight years, we've been dug into a very deep hole here at home with regard to our economy, and abroad in terms of our credibility",__label__Support,"And there's a need for fundamental change in our economic philosophy, as well as our foreign policy"
2269,"I believe that the passage of the so-called Title Three, which gives the Attorney General the power to protect Constitutional rights in those cases where it's not possible for the person involved to bring the suit",__label__Attack,"First, as a legislative leader"
2270,I'm not going to stand for somebody saying that because someone yelled something at a rally,__label__Attack,"you're running mate didn't mention, didn't stop, didn't say ""Hold on a second, that's kind of out of line."""
2271,"It's warm, or it's not",__label__Support,The calendar works the same every year
2272,"fourthly, as a moral leader",__label__Support,I think that the president operates in a number of different areas
2273,This is public ethics,__label__Support,"you have 30-some in your administration, either left or being investigated or in jail or whatever, then you've got an ethical problem"
2274,a stagnant economy that promotes more government dependency,__label__Support,The choice is clear
2275,the money goes to them,__label__Support,"The money goes 100 percent -- 100 percent goes to different charities, including a lot of military"
2276,I believe in its greatness,__label__Support,I believe in this country
2277,"Not with quotas, but help meet a goal of ownership of small businesses, for example",__label__Support,I think the contracting business in government can help
2278,We’re cutting taxes for the middle class.,__label__Attack,"Hillary Clinton is raising your taxes, folks"
2279,I know why jobs come and why they go,__label__Support,I know how to make that happen
2280,I come from relatively modest circumstances,__label__Support,"I think, probably there are more similarities than there are differences in our personal story"
2281,"with his policies, we might be back in that same mess",__label__Support,it's conceivable that Governor Romney could bring down gas prices
2282,They're decent American values,__label__Support,I believe in them
2283,we recognize there's no consensus in America,__label__Support,"This country is split between those who call themselves pro-choice, and I'm sure, very sincerely, and those of us who call ourselves pro-life"
2284,I've worked with other colleagues,__label__Support,I've done that
