,Unnamed: 0,head,relation,tail
7045,4894,we know where it came from: two wars that were paid for on a credit card; two tax cuts that were not paid for; and a whole bunch of programs that were not paid for; and then a massive economic crisis,__label__Attack,"despite that, what we've said is, yes, we had to take some initial emergency measures to make sure we didn't slip into a Great Depression"
7046,4895,so will Bob Dole,__label__Attack,Bob Dole is opposed to that plan
7047,4896,You pulled another Clinton on me,__label__Support,you tried to convince the American people that Bill Clinton is for tort reform
7048,4897,I really don't think so,__label__Attack,I hope you don't think that
7049,4898,"to putting 100,000 police officers on the street",__label__Support,"that's what I've done my whole career, Gwen, on very, very controversial issues"
7050,4899,I think it could be a more powerful country.,__label__Support,I am not satisfied as an American with the progress that we're making.
7051,4900,it's a problem for all of us,__label__Support,I do it because it's the responsibility of leadership
7052,4901,"in the case of missile defense, Senator Obama said it had to be, quote, ""proven",__label__Support,"That wasn't proven when Ronald Reagan said we would do SDI, which is missile defense"
7053,4902,He's talking about my mother and father,__label__Support,you probably detected my frustration with their attitude about the American people
7054,4903,to make sure we can use coal but in a clean way,__label__Support,I'm a big proponent of clean coal technology
7055,4904,I know how to deal with our adversaries,__label__Support,"I guarantee you, as president of the United States, I know how to heal the wounds of war"
7056,4905,this is not just when it comes to individual taxes,__label__Support,Let's talk about corporate taxes
7057,4906,she works for me,__label__Support,Secretary Clinton has done an extraordinary job.
7058,4907,"I don't think you can do it, with all due respect to Al Gore, with somebody who spent all the last 24 years in that Washington environment and who campaigns on the basis of castigating others",__label__Support,I think it will take new leadership
7059,4908,He gave us a copy of the speech,__label__Support,The president likes to say he has a plan
7060,4909,he took a tremendous pounding and everybody now knows that he took a very unfair pounding,__label__Attack,I'd like each person to say did I jump to conclusions running down rumors that were so outrageous and so brutal
7061,4910,you must look at experience,__label__Support,Qualifications for the office of Vice President or President are not age alone
7062,4911,Our family does,__label__Support,I have a deep religious faith
7063,4912,"It's not taking anything away from schools, it's new money",__label__Support,"It's not being taken away from anybody else, except we'll downsize the Department of Education"
7064,4913,"If the tax cut is your number one, two, three and four priority",__label__Support,you can't do education
7065,4914,"We are going to be choosing a president who will set policy for not just four or eight years, but because of some of the important decisions we have to make here at home and around the world, from the Supreme Court to energy and so much else, and so there is a lot at stake",__label__Support,".So I believe that this election has become in part so—so conflict-oriented, so intense because there’s a lot at stake"
7066,4915,It's a very tense situation there,__label__Support,I think that we also have to keep a weather eye toward Saddam Hussein
7067,4916,so that students can get more one-on-one time with teachers,__label__Support,I want to reduce the size of the classrooms in this country
7068,4917,"there are numerous groups who don't support that prayer in the school, numerous religious groups",__label__Attack,I do have a problem with is when the president of the United States gets up in Dallas and addresses a group of individuals and said to them that anybody who doesn't support his constitutional amendment for prayer in the schools is intolerant of religion
7069,4918,what I've done in PAC money is just what my opponent in my campaign has done in his campaign,__label__Support,I don't find it embarrassing at all
7070,4919,"the fact of the matter is, we used the same advisers, and they say it's the same plan",__label__Attack,Governor Romney at the beginning of this debate wrote and said what we did in Massachusetts could be a model for the nation
7071,4920,"a commission to investigate 9/11, and find out what happened, and fix it",__label__Support,"9/11, Senator Joe Lieberman and I decided that we needed a commission"
7072,4921,to introduce it on the first day I was inaugurated,__label__Support,my first priority would be to pass a jobs program
7073,4922,I would,__label__Support,I think it's about his priorities
7074,4923,"We're going to have to spend more money in the future on military technology and on greater mobility, greater airlift, greater sealift, the B-22 airplane",__label__Support,We're going to have to do some things that are quite costly
7075,4924,We also have to look at how we help families balance the responsibilities at home and the responsibilities at business,__label__Support,we have a very robust set of plans
7076,4925,"I had precisely in mind a lot of the people that were in the White House and other agencies who've never been had any experience, who came to Washington without any experience",__label__Support,"they all were very liberal, of course, or they wouldn't be in the administration"
7077,4926,We've become almost a welfare state,__label__Support,This doesn't have to be
7078,4927,We didn't make a judgment in fifty-seven and fifty-six and fifty-five and fifty-four that outer space would be important,__label__Support,"My judgment is that the Republican party has stood still here in the United States, and it's also stood still around the world"
7079,4928,America is in a position to help,__label__Support,"But as for as Darfur, we can agree on that also, the supported of the no-fly zone, making sure that all options are on the table there also"
7080,4929,They have a lack of credibility around the world,__label__Support,"With all due respect to this administration, they've got a foreign policy in disarray"
7081,4930,Testing should be confidential,__label__Support,We can't simply stick our heads in the sands in terms of testing
7082,4931,"the Affordable Care Act was meant to try to fill the gap between people who were too poor and couldn’t put together any resources to afford health care, namely people on Medicaid",__label__Support,"Medicare, which is a single-payer system, which takes care of our elderly and does a great job doing it, by the way, and then all of the people who were employed, but people who were working but didn’t have the money to afford insurance and didn’t have anybody, an employer or anybody else, to help them"
7083,4932,"when Governor Romney's campaign was asked about the Lilly Ledbetter bill, whether he supported it",__label__Support,"He said, ""I'll get back to you"
7084,4933,you can't trade arms for hostages,__label__Support,the one thing we ought to know by now is that you can't go out and make secret deals with the Ayatollah
7085,4934,I know we can do better,__label__Support,I just believe it's time to change
7086,4935,I will be a president for all of our people,__label__Attack,"she calls our people deplorable, a large group, and irredeemable"
7087,4936,There are companies that wanted to petition the administration,__label__Support,The fact is that the president had an opportunity to stand up and take on China for currency manipulation
7088,4937,Teachers needed to be paid more,__label__Support,"I say, too, with education, America needs to be putting a lot more focus on that and our schools have got to be really ramped up in terms of the funding that they are deserving"
7089,4938,I did not say that,__label__Attack,he held a number of big rallies where he said that he could not possibly have done those things to those women
7090,4939,We’re down at 1 percent,__label__Support,"If China has a GDP of 7 percent, it’s like a national catastrophe"
7091,4940,it's gotten too much,__label__Support,I just think that we ought to do everything we can to respect the American family
7092,4941,"you will raise taxes on the rich, people with incomes of $200,000 a year or higher",__label__Support,"you will have to go lower than that, much lower"
7093,4942,"There is a crime bill that, lamentably, was blocked from passage once again, mostly by Republicans in the United States Senate, which would have addressed some of these problems",__label__Support,"Thirdly, we ought to have boot camps for first-time nonviolent offenders"
7094,4943,It's cut federal aid to education,__label__Support,I must have been living through a different eight years then the ones the vice president's been living through
7095,4944,where there are no requirements for you to have to get pre-existing conditions,__label__Support,They will find a state
7096,4945,I believe all of those should be gone over in detail to make sure that no one is getting a tax break,__label__Support,"I can assure you that if I'm elected president, the whole spectrum of taxes will be gone through carefully"
7097,4946,stopped the Trident or delayed the Trident submarine,__label__Support,"I and my predecessors - both Democrats and Republicans - have advocated resolving those troubles in those difficult areas of the world peacefully, diplomatically, and through negotiation"
7098,4947,"given how much the Red Army, now under the control of Russia, has been cut, the arms control agreement concluded between Mr. Bush and Mr. Yeltsin",__label__Support,"I simply don't believe we can afford nor do we need to keep 150,000 troops in Europe"
7099,4948,He'll tell you about vouchers,__label__Support,They haven't put a credible solution on the table
7100,4949,It's one of the reasons why we have a drug education and prevention program that is reaching out and helping youngsters all over our state,__label__Support,I'm also very tough on violent crime
7101,4950,"We spend more on our military than the next 10 countries combined; China, Russia, France, the United Kingdom, you name it",__label__Support,The next 10
7102,4951,I couldn't disagree more,__label__Support,"who will safeguard this nation, who will safeguard our people and our children? I need your support, I ask for your vote"
7103,4952,we've stopped them in other parts of the world,__label__Attack,I should point out here that Senator Kennedy has attacked our foreign policy
7104,4953,"all that did, saw friends die, but that heightened my convictions about peace",__label__Support,It is absolutely essential that we guarantee the young people that they will not know the agony of war
7105,4954,"I'm a product of public schools, my family, wife and daughters all went to public schools",__label__Support,"Our desire is to find ways to reform our educational system, to return it to its former glory"
7106,4955,because a company in Minnesota who was willing to give up salaries and perks for their executives to make sure that they didn't lay off workers during a recession,__label__Support,my faith and confidence in the American future is undiminished
7107,4956,it did not mention West Virginia,__label__Support,Our bill was far more effective
7108,4957,those are the choices the next president of the United States is going to have to make,__label__Support,"We've got to move ahead with the strategic arms negotiation process, with the comprehensive test ban treaty and with negotiations leading to conventional force reduction in Europe with deeper cuts on the Soviet side and Senator Bentsen"
7109,4958,"it seems to me in 1982, when the administration presented its Start proposal, that it wasn't a realistic proposal",__label__Attack,"with reference to the vice-president's comments about the intent and the desire of the United Sites and this administration, the Soviet Union did walk out of the talks"
7110,4959,"We are the authors, the Democratic Party, of Clean Air, of Clean Water, of the superfund",__label__Support,I think we know well who's going to help clean up this environment
7111,4960,"when you looked into the camera in a debate with Senator Clinton and said, ""I will sit down and negotiate with John McCain about public financing before I make a decision,""",__label__Support,you didn't tell the American people the truth
7112,4961,We can close an achievement gap,__label__Support,We can do better in our public schools
7113,4962,getting our economy moving again,__label__Support,I know how to fix this economy
7114,4963,tax cuts for child care,__label__Support,we're going to do is roll back tax cuts
7115,4964,95% of all seniors would get no help whatsoever under my opponent's plan for the first four or five years,__label__Attack,I've got a plan on Medicare
7116,4965,Let's get on with talking about something substantive,__label__Support,we're facing a desperate situation in our economy
7117,4966,part of the reason I think it's so important for us to end the war in Iraq is to be able to get more troops into Afghanistan,__label__Support,I think it's so important for us to reverse course
7118,4967,trade deals that make sure that American workers and American businesses are getting a good deal,__label__Support,we've kept on pushing trade deals
7119,4968,that was the reason that I would not uh - identify any particular course of action uh - when I responded to a question a week or so ago,__label__Support,"I firmly believe, uh - Mr. Kraft, that it's unwise for a president to signal in advance what uh - options he might exercise if any uhh - international problem arose"
7120,4969,I have a grandson,__label__Support,"I don't ever want to see another generation of young Americans bleed their lives into sandy beachheads in the Pacific, or rice paddies and jungles in the in Asia or the muddy battlefields of Europe"
7121,4970,the people that have been long-term workers at the FBI are furious,__label__Support,"There has never been anything like it, and we’re going to have a special prosecutor."
7122,4971,I'm not talking about private ethics,__label__Support,This is public ethics
7123,4972,the President opposed and defeated,__label__Support,You can have a constitutional amendment to balance the budget
7124,4973,we're stronger,__label__Support,we set a better example to the world
7125,4974,That's the task of the 21st century,__label__Support,Our law enforcement must have every tool necessary to find and disrupt terrorists at home and abroad before they hurt us again
7126,4975,I don't disagree with that,__label__Support,Absolutely not
7127,4976,it's the possibility that we might find ourselves without adequate supplies of energy in the future,__label__Support,"I think if you look for something that could develop, some problem that could arise, that might, in fact, jeopardize our continuing prosperity"
7128,4977,there is no connection between Saddam Hussein and the attacks of September 11th -- period,__label__Attack,the vice president keeps suggesting that there is
7129,4978,People have lost their health care or are going bankrupt,__label__Support,"Over the last eight years, we've seen that dream diminish"
7130,4979,we're facing a desperate situation in our economy,__label__Attack,her children will be dead before another -- this standard of living is doubled
7131,4980,"the Republicans in recent years - not only in the last twenty-five years, but in the last eight years - have opposed housing, opposed care for the aged, opposed federal aid to education, opposed minimum wage",__label__Support,I think that record tells something
7132,4981,I'm not going to sit there and be a punching bag,__label__Attack,nobody likes who shot John
7133,4982,No excuses,__label__Support,"we need to make sure that if we decontrol our plants that there's mandatory -- that the plants must conform to clean air standards, the grandfathered plants"
7134,4983,"we can have tough, vigorous debates around issues",__label__Support,what is important is making sure that we disagree without being disagreeable
7135,4984,I think this is right for the people,__label__Support,"Mr. Vice President, and I want all people covered"
7136,4985,I'm pleased the president made the decision he made,__label__Support,I thought the president made the right decision in joining NATO and bombing Serbia
7137,4986,it won't be on my timetable,__label__Support,I will try to do the same thing
7138,4987,"as Senator Clinton said in her debates with you, we need to know the full extent of that relationship",__label__Support,"all of these things need to be examined, of course"
7139,4988,I favor the death penalty,__label__Support,I do believe it would be inhibiting
7140,4989,The neighborhoods are safer 'cause crime is going down,__label__Support,Your sons and daughters are doing better in school
7141,4990,Look at the evidence of the last four years,__label__Support,It's absolutely extraordinary
7142,4991,the United States does not concede that those countries are under the domination of the Soviet Union,__label__Attack,the Russians are not using Eastern Europe as their own sphere of influence in occupying mo- most of the countries there
7143,4992,We are not going to jeopardize this program,__label__Support,We're not going to run away
7144,4993,I'd like to bring money from overseas back to this country,__label__Support,the idea that you get a break for shipping jobs overseas is simply not the case
7145,4994,"He just -- he said, let it go bankrupt, period",__label__Support,I know he had no commitment to the automobile industry
7146,4995,it's a great threat,__label__Support,our challenge right now is the Iranians continue on the path to acquiring nuclear weapons
7147,4996,"Last report on new purchases, it's the lowest since 1982",__label__Support,the result is exactly what we see
7148,4997,we ought to look to the future,__label__Support,This election is about the future of our country
7149,4998,"if you want to get off Medicare, get back in the mainstream, we're going to provide jobs",__label__Support,We're going to say you have a five-year limit
7150,4999,If we can stand up for our economics,__label__Support,we ought to be able to preserve the democratic interests of the people of China
7151,5000,Through the years I have sat in the National Security Council.,__label__Support,I can only say that my experience is there for the people to consider;
7152,5001,I think he made my case,__label__Support,You can't do that as president
7153,5002,I mean they do have elections that are coming up on November 4,__label__Support,I think we have to work with them to achieve a peaceful solution to bring about a pluralistic country
7154,5003,"the Federal Government is going to turn around and say, well you have this problem; we will now hand you the money to do it",__label__Support,the Federal Government doesn't make money
7155,5004,I get the casualty reports every day,__label__Support,I understand how hard it is
7156,5005,you talked about a risky scheme,__label__Support,"I'm a little offended by this word ""scheme"
7157,5006,They're gone,__label__Support,There are actually more people in government except for people in defense related jobs
7158,5007,we have to take measured steps,__label__Support,we should do everything we can to see that the will of the Serbian people expressed in this extraordinary election is done
7159,5008,Those are the concerns of the people that are watching us tonight.,__label__Support,"we get to the issues that affect the vast majority of Americans, jobs, schools, health care, housing, the environment"
7160,5009,the budgets increased $318 billion,__label__Support,there is no ratio between taxing and balancing a budget
7161,5010,It's like a huge tax gap,__label__Support,I don't think we want to get to how he's going to pay for all these promises
7162,5011,They can provide information to us that we might not get anywhere else,__label__Support,we need to be cooperating with Muslim nations and with the American Muslim community
7163,5012,"We ran a campaign based on issues, not insults",__label__Attack,"what he has said about African-Americans and Latinos, about Muslims, about POWs, about immigrants, about people with disabilities, he’s never apologized for"
7164,5013,Or world where people have enough to eat and a world where we care about those who don't?,__label__Attack,"Will we have a world of hunger and - and hatred, and will we be living in an armed camp stripped of our friendship and allies hiding behind a tight defense that's been drawn in around us because we are fearful of the outside world?"
7165,5014,"if you're 60 or around 60 or older, you don't need to listen any further",__label__Support,"neither the president nor I are proposing any changes for any current retirees or near retirees, either to Social Security or Medicare"
7166,5015,"And we have not got to allow the partisanship that has really been entrenched in Washington, D.C., no matter who's been in charge",__label__Attack,"When the Republicans were in charge, I didn't see a lot of progress there, either"
7167,5016,"I found one thing in Governor Bush's answer that we certainly agree on, and that's the low income heating assistance program",__label__Support,"we have to fully fund LIHEAP which is a way to help low income folks, particularly here in the east to pay for high fuel bills"
7168,5017,"Now we have a very, very wide-ranging group of advisers who help me prepare for these debates and who teach me about international economics, and foreign affairs, defense matters, health, education, welfare, government reorganization",__label__Support,"I'd say, several hundred of them"
7169,5018,"For 30 years, you've been doing it, and now you're just starting to think of solutions",__label__Support,You can't bring back jobs
7170,5019,"It has been an abject failure, this administration's policy",__label__Support,the policy of this administration has been an abject failure
7171,5020,There has been a restoration of faith and confidence and trust in the presidency,__label__Support,We are at peace
7172,5021,the federal government also can play a very important role,__label__Support,"the primary responsibility for education is -- is, of course, at the state and local level"
7173,5022,George Bush didn't propose turning Medicare into a voucher,__label__Support,there are some things where Governor Romney is different from George Bush
7174,5023,there are a lot of old boys in the K.G.B. and the military that liked it better the way it used to be,__label__Support,they could go back worse than things used to be
7175,5024,"A war that I was in, where we had an Army, that it wasn't through any fault of their own",__label__Support,I know how hard it is for that -- for an Army and a military to recover from that
7176,5025,I've got a different view,__label__Attack,"Governor Romney has a perspective that says if we cut taxes, skewed towards the wealthy, and roll back regulations, that we'll be better off"
7177,5026,allow small businesses to pool together so they can share risk and buy insurance at the same discounts big businesses get to do,__label__Support,"It's good for small businesses, good for owners"
7178,5027,"One of them happened just the other day, when a man I admire and respect -- I've written about him -- Congressman John Lewis, an American hero, made allegations that Sarah Palin and I were somehow associated with the worst chapter in American history, segregation, deaths of children in church bombings, George Wallace",__label__Support,it has taken many turns which I think are unacceptable
7179,5028,"if we had let sanctions work and tried to build a consensus on that, Saddam Hussein today would be in Saudi Arabia controlling the world's oil supply",__label__Support,he would be there maybe with a nuclear weapon
7180,5029,natural gas isn't just appearing magically,__label__Support,We're encouraging it and working with the industry
7181,5030,"We need to say here's your tax incentive: if you create American jobs, the old-fashioned way",__label__Support,We don't need across-the-board tax cuts for the wealthy for nothing
7182,5031,"When the -- when the president of Iraq -- excuse me, of Iran, Ahmadinejad, says that our debt makes us not a great country, that's a frightening thing",__label__Support,we have weakened our economy
7183,5032,"if you taxed every person and successful business making over $250,000 at 100 percent, it would only run the government for 98 days",__label__Support,we think that government taking 28 percent of a family and business's income is enough
7184,5033,Senator Kerry and Senator Edwards voted against it,__label__Attack,we're also going to finally do something about the cost of prescription drugs
7185,5034,"East Coast politicians who don't allow energy-producing states like Alaska to produce these, to tap into them",__label__Support,It's a nonsensical position that we are in
7186,5035,I had the chance to be governor of a state,__label__Support,"Four years in a row, Democrats and Republicans came together to balance the budget"
7187,5036,My intentions in the field of civil rights have been spelled out in the Republican platform,__label__Support,I think we have to make progress first in the field of employment
7188,5037,we stopped the genocide,__label__Support,strengthened our relationship with our European allies in NATO
7189,5038,we can generate a higher return off that investment than you get in the existing system,__label__Support,"The reform we would like to offer is to allow our young people to begin to take a portion of the payroll tax, 2% of it, and invest it in a personal retirement account"
7190,5039,our long-term security depends on our deep faith in liberty,__label__Attack,The great threat to our country is that these haters end up with weapons of mass destruction
7191,5040,Our competitors don't do that,__label__Support,There are more deductions in the tax code for shutting plants down and moving overseas than there are for modernizing plant and equipment here
7192,5041,that's a great idea,__label__Support,"tell our kids that before they have babies, they ought to think about getting married to someone"
7193,5042,the vice president himself is prepared to make exceptions,__label__Support,isn't the real question that we have to answer not how many exceptions we make
7194,5043,"Al Qaida and the Taliban have safe havens in Pakistan, across the border in the northwest regions",__label__Support,we've got to deal with Pakistan
7195,5044,Milosevic has been indicted as a war criminal,__label__Support,he should be held accountable for his actions
7196,5045,They're running millions of dollars of ads against me,__label__Support,Donald's been strongly supported by the NRA
7197,5046,She's raising the money from the people she wants to control,__label__Attack,"I would like to say to everyone watching tonight that I'm reaching out to all Americans -- Democrats, Republicans, and independents"
7198,5047,Senator Dole said 30 years ago he was one of 12 people who voted against Medicare and he was proud of it,__label__Support,Not in an election year
7199,5048,it's hard to out-spend Congress but he tried to for the last 3 years,__label__Support,my view is the middle class is the -- they've been suffering
7200,5049,It was just like the proposal of your party back when Social Security was first proposed,__label__Support,You said: we're for it as long as it's voluntary
7201,5050,"if we do what I'm planning on doing, which is getting us energy independent, North America energy independence within eight years, you're going to see manufacturing jobs come back",__label__Support,I'll get America and North America energy independent
7202,5051,They talk about family income being up,__label__Support,it's up in some cases
7203,5052,Change is coming,__label__Support,And John McCain is the leader of that reform
7204,5053,They want to know where they're going to get new jobs when their jobs have been destroyed.,__label__Support,there are 1.4 million manufacturing jobs that have been lost
7205,5054,The math simply doesn't work,__label__Attack,then somehow you're also going to deal with the deficit that we've already got
7206,5055,We now have 2500 hospices,__label__Support,I've worked all my life when I was in the Congress
7207,5056,They've got people allowed to go into churches now and political meetings without any showing of potential criminal activity or otherwise,__label__Support,People's rights have been abused
7208,5057,the way you to that position of rnoving away from having to make a decision - armed force or anything else - is by moving toward arms control.,__label__Attack,that's not what's been done over the past four years
7209,5058,I think those are the wrong priorities,__label__Attack,"his tax cut plan, for example, raises the question of whether it's the right choice for the country"
7210,5059,not due to his policies,__label__Attack,the president pointed out correctly that production of oil and gas in the U.S. is up
7211,5060,"A two-state solution, building our embassy, also, in Jerusalem, those things that we look forward to being able to accomplish",__label__Support,"I'm sure that we're going to see more success there, also"
7212,5061,I do it because it's the responsibility of leadership,__label__Support,"This is wrong, and we have to do something about it"
7213,5062,"We have seen premature births that are now grown-up, happy people going around",__label__Support,"I believe that until and unless someone can establish that the unborn child is not a living human being, then that child is already protected by the Constitution"
7214,5063,save $750 billion,__label__Support,"fiscal restraint, I think is necessary"
7215,5064,So we won’t make them famous,__label__Support,"I won’t mention their names, because they’re rich, but they’re not famous."
7216,5065,"I don't know why -- I've never understood quite why Mr. Perot was so upset it, because one of the guys he used to have working for him, I believe, had foreign accounts",__label__Attack,I don't have a one of them
7217,5066,"With all due respect, the Senate Budget Committee estimates that Dick Cheney has just referred to are the estimates of the partisan Republican staff of the Senate Budget Committee",__label__Attack,"If you look, frankly, by our numbers and the numbers of the Senate Budget Committee, which has totaled up all the promises that Vice President Gore has made during the course of the campaign, they are some $900 billion in spending over and above that surplus already and we still have a month to go in the campaign"
7218,5067,We have too many drug addicts as kids,__label__Support,"I have devoted a major portion of this campaign to going across this country and looking for opportunities to go to white groups and African-American groups and Latino groups, Asian-American groups and say the same thing"
7219,5068,Regulations have quadrupled,__label__Support,We have to be competitive if we're going to create more jobs here
7220,5069,"I can understand, after the vice presidential debate, why Mr. Bush would want no more debates",__label__Attack,There will be no more debates
7221,5070,I believe that we ought to keep guns out of the hands of people that shouldn't have them,__label__Support,That's why I'm for instant background checks at gun shows
7222,5071,"that'll attack unmercifully in Iraq, hoping to shake our will",__label__Support,We have a duty to defeat this enemy
7223,5072,we have to do something about that,__label__Support,there is other forms of racial profiling that goes on in America
7224,5073,"it would be of - of tremendous benefit in long-range planning, in tight budgeting",__label__Support,This is the kind of change that would be made
7225,5074,"the right approach is one which relies on the brilliance of our people and states, not the federal government",__label__Attack,Don't have the federal government tell everybody what kind of training programs they have to have and what kind of Medicaid they have to have
7226,5075,U-2 flight in May just before the conference was a mistake in timing,__label__Attack,"I think the President was correct, certainly, in his decision to continue the flights while the conference was going on"
7227,5076,I am going to do it in a way that's fiscally sound,__label__Support,I'm going to stand up and fight for the American worker
7228,5077,We shut the loophole which has American workers actually subsidizing the loss of their own job,__label__Support,"we start by rolling back George Bush's unaffordable tax cut for the wealthiest people, people earning more than $200,000 a year"
7229,5078,I think we need to put Medicare and Social Security in a lockbox,__label__Attack,The governor will not put Medicare in a lockbox
7230,5079,"my dad who is in the audience today, he's a schoolteacher, had been for many years",__label__Support,"My brother, who I think is the best schoolteacher in the year, and here's a shout-out to all those third graders at Gladys Wood Elementary School, you get extra credit for watching this debate."
7231,5080,Assad is killing ISIS,__label__Support,those three have now lined up because of our weak foreign policy
7232,5081,"targeted to education and child rearing, with the rest of the education plan",__label__Support,I think a targeted tax cut is better for our future
7233,5082,"he said, ""I think that's what grows the economy",__label__Support,I fundamentally disagree with that
7234,5083,We've been blessed by having a nation that's free and prosperous thanks to the contributions of the greatest generation,__label__Support,They've held a torch for the world to see -- the torch of freedom and hope and opportunity
7235,5084,"They're people like Mitterrand of France and Kohl of Germany and President Kiprianou of Cyprus - you go down the list, five pages of people that the Soviet leaders have managed to meet with",__label__Support,somehow they couldn't meet with the president of the United States
7236,5085,which would be financed under the Social Security taxes,__label__Support,It is actuarially sound
7237,5086,He's got over $100 billion of tax cuts and incentives,__label__Support,"When Mr. Quayle said that all the networks said, that's not true"
7238,5087,we'll have the moral authority that goes with those efforts,__label__Support,"by working with all of the nations in the region -- unlike the policies of this administration and unlike the President said, they have not supported negotiations in that region -- we will be much stronger"
7239,5088,we knew where the fuel rods were,__label__Support,we knew the limits on their nuclear power
7240,5089,and they're good,__label__Support,I've developed -- put out money in my budget to expand community health centers all around the country
7241,5090,a plan is not to lay out programs that you can't pay for,__label__Support,It's an empty promise
7242,5091,I said I did if administered fairly and justly,__label__Support,"If it's administered swiftly, justly and fairly, it saves lives"
7243,5092,My plan is to bring down rates,__label__Support,"also bring down deductions and exemptions and credits at the same time so the revenue stays in, but that we bring down rates to get more people working"
7244,5093,7.4 million seniors are projected to lose their current Medicare Advantage coverage they have,__label__Support,"They got caught with their hands in the cookie jar, turning Medicare into a piggybank for Obamacare"
7245,5094,there are some explorations and things that we can consider in this area,__label__Support,we need to get on with it
7246,5095,it's almost like an ad hoc foreign policy,__label__Attack,"it seemed to me just as an observer that you know before you'd call somebody to America, you'd have some notion what the end result might be"
7247,5096,This has been their primary focus,__label__Support,"I think the fact that this has become such an important part of your campaign, Senator McCain, says more about your campaign than it says about me"
7248,5097,All of those are legally deductions,__label__Support,"I think if you looked at the deductions, there were great legal expenses in there"
7249,5098,It is going to require a new spirit,__label__Support,It's been my record as Governor of Texas
7250,5099,"We want there to be electronic medical records to cut down on error, as well as reduce cost",__label__Support,we've got to introduce high technology into health care
7251,5100,We're not going to be able to be everywhere all the time,__label__Support,it's so important for us to be able to work in concert with our allies
7252,5101,"I don't think they do, enough",__label__Support,that's what concerns me
7253,5102,it's important that we stand up democratically elected governments as the only guarantee that they'll never again revert to terrorism or the production of deadly weapons,__label__Support,This is the task of our generation
7254,5103,Everything else falls behind that,__label__Support,That's the only sacred obligation we have
7255,5104,It would blow up the bureaucracy,__label__Support,the only hole it would blow is a hole in the plans of this administration to try to tinker with the tax code and defend the indefensible
7256,5105,fair because by being fair we uphold the very freedoms that the Communists would destroy.,__label__Support,It is also essential in being alert that we be fair;
7257,5106,"Instead of squabbling and finger pointing, he gets immediate help",__label__Support,It's called Immediate Helping Hand
7258,5107,"I believe is the more we can do for the middle class, the more we can invest in you, your education, your skills, your future, the better we will be off and the better we'll grow",__label__Support,I think we come at it from somewhat different perspectives
7259,5108,We're the most competitive country in the world now,__label__Support,that's what our trade ambassador our commerce secretary and all the other people in our administration are trying to do
7260,5109,The federal government spends seven percent of the total on education,__label__Support,The fact happens to be that education spending is up by the federal government
7261,5110,"The very minute effect of the action which has been taken this week on Cuba's economy - I believe Castro can replace those markets very easily through Latin America, through Europe, and through Eastern Europe",__label__Support,They have to include the other countries of Latin America
7262,5111,"If you're paying $12, $13, $14 an hour for a factory worker, and you can move your factory south of the border, pay $1 an hour for labor, hire a young -- let's assume you've been in business for a long time",__label__Support,you don't care about anything but making money
7263,5112,we've got to work with them,__label__Support,Those are the kinds of priorities for national security and for foreign policy that I want to pursue
7264,5113,We've got a 30 percent or 40 percent unemployment rate among minority uh - young people,__label__Support,now the federal government has become the world's greatest slum landlord
7265,5114,there's some who should be buying health care who choose not to,__label__Support,I've got a plan to do something about that. It's to make health care affordable and available this way
7266,5115,I talked in our first debate about the possibilities of helping millions and millions of welfare families to get off of welfare,__label__Support,"I'm not going to go to entitlements as a means for cutting that deficit when we're spending billions on something like Star Wars, when we're spending billions on other weapon systems which apparently the Vice President wants to keep in his back pocket or some place"
7267,5116,"we were far stronger relative to the Communists five years ago, and what is of great concern is that the balance of power is in danger of moving with them",__label__Support,I'm not as confident as he is that we will be the strongest military power by 1963
7268,5117,I want to do something about Medicare,__label__Support,I'm running to get some things done for America
7269,5118,"With respect to Iran, the British, French, and Germans were the ones who initiated an effort without the United States, regrettably, to begin to try to move to curb the nuclear possibilities in Iran",__label__Support,I believe we could have done better
7270,5119,"Mr. President, you measure it by whether you're getting the job done",__label__Attack,only a liberal senator from Massachusetts would say that a 49 percent increase in funding for education was not enough
7271,5120,There's a $750 billion tax cut over a five-year period of time,__label__Support,That's one of the reasons we're facing these enormous deficits that we have today
7272,5121,He filibustered it,__label__Support,Senator Dole led the opposition to it
7273,5122,a nation on Earth that has 100 nuclear weapons and is on the way to double that at some point,__label__Support,it's not time to divorce
7274,5123,Will women's rights be protected?,__label__Support,These are constitutional rights
7275,5124,he doesn't have the clean energy part,__label__Support,his plan is to let the oil companies write the energy policies
7276,5125,Elected to the United States Senate when I was 33,__label__Support,what have I - going to do with my life
7277,5126,I think that that is the kind of investment where the federal government can help,__label__Attack,Governor Romney doesn't think we need more teachers
7278,5127,Let the states and localities do that,__label__Attack,I don't like to have the federal government start pushing its weight deeper and deeper into our schools
7279,5128,"I wanted to bring the Gore book tonight, because I figured he was going to pull a Bill Clinton on me and he has",__label__Support,he's going to disavow what's in his book
7280,5129,I would remind Senator Kennedy of the past fifty years,__label__Support,I would ask him to name one Republican president who led this nation into war
7281,5130,"I'm pleased to see, Dick, from the newspapers that you're better off than you were eight years ago, too",__label__Support,"I think if you asked most people in America today that famous question that Ronald Reagan asked, ""Are you better off today than you were eight years ago?"" Most people would say yes"
7282,5131,we ought to close the lawyers' loopholes,__label__Support,I think Ross is right and that we do need some more restrictions on lobbyists
7283,5132,Ninety percent of the costs are coming out of your pockets,__label__Support,That's not a grand coalition
