head,relation,tail
we're talking about six percentage points over six years,support,with that money you give it back to the working people
president bill clinton promised to create 8 million jobs,support,that is a record of promises made and promises kept
oil production is down 14 percent this year on federal land,support,none of it came on federal land
"we caused the problem, then we have to bail them out",support,one of the most serious -- one of the most serious problems was the tremendous effort by this administration to force on mexico a devaluation of their peso
"if we get that tax rate from 35 percent down to 25 percent, why that $2.8 billion is on the table",support,"this $2.8 billion goes largely to small companies, to drilling operators and so forth"
i just told you the criteria on which i'll appoint judges,support,i have a record of appointing judges in the state of texas
we were closing loopholes,support,we were going after big corporations
"it is inappropriate for us, just because there's a problem somewhere around the world, to take the sons and daughters of working people",attack,"certainly we care about the people, we care about the children, we care about the tragedy"
governor bush suggested exactly that we ought to try to get the russians involved to exercise some leverage over the serbians,support,governor bush was correct in his assessment and his recommendation
i believe we ought to insist that western credits extended to the soviet union bear the market rate,support,"we ought to pursue strategies with each of them, economic and the rest, that help them pull away from their dependence upon the soviet union"
we have a budget deficit in the federal government,support,"we really have 2 deficits in america, not one"
let them come to birth,support,then put them in a family where they will be loved
"to make sure that leaders like kim jong-il and ahmadinejad are not allowed to acquire, to proliferate, or to use those nuclear weapons",support,"but for those countries -- north korea, also, under kim jong-il -- we have got to make sure that we're putting the economic sanctions on these countries and that we have friends and allies supporting us in this"
we are the sole remaining superpower,support,i simply do not think we should go back to the isolation days and starting blaming foreigners
their country is making great progress,support,time is our friend there
president eisenhower moves from the scene on january twentieth and the next four years are the critical years,support,that's the debate
"i will not under any circumstances, reduce the share that's being paid by the highest income taxpayers",support,the top 5 percent of taxpayers will continue to pay 60 percent of the income tax the nation collects
we need to be thinking about cyber security,support,"when it comes to our military, what we have to think about is not, you know just budgets, we've got to think about capabilities"
"one of them happened just the other day, when a man i admire and respect -- i've written about him -- congressman john lewis, an american hero, made allegations that sarah palin and i were somehow associated with the worst chapter in american history, segregation, deaths of children in church bombings, george wallace",support,it has taken many turns which i think are unacceptable
what does matter is a plan,support,what means something is: do you have a plan?
it's the obligation of the president to do just that,support,i intend to do so
just a typical politician,support,i see that
you're absolutely right,support,there's too much partisanship in washington
because of the gigantic population growth,support,the situation today is terribly different quantitatively -- qualitatively different from what it has been in the past
the approach that governor romney's talking about is the same sales pitch that was made in 2001 and 2003,support,we ended up with the slowest job growth in 50 years
which is a disaster,attack,trying to save obamacare
because of iran and north korea and the potential for them to obtain or to launch nuclear weapons,support,we need missile defense
"i want to help people help themselves, not have government tell people what to do",support,i want to empower the people
i believe in the transformational power of liberty,support,we'll continue to spread freedom
in our first debate he indicated that i had not had experience or at least uh - had not participated significantly in the making of the decisions,support,i think senator kennedy should make up his mind with regard to my responsibility
a president must see it like it is,support,he must stand for the values of decency that the american people stand for
you can look at the record,support,there's no question in my mind that if the president were to be reelected you'll continue to see a middle-class squeeze with incomes going down and prices going up
providing funding to universities and think tanks is great,support,i want to invest in research
the records show that president roosevelt vetoed an average of fifty-five bills a year,support,the governor has also played a little fast and loose with the facts about vetoes
it has some very elderly leaders that will not be around too much longer,support,asia will be our largest trading partner in the future
with decent and affordable healthcare for all working families,support,i'm a product of it and i want to help that dream come true for every single citizen in this land
"if the tax plan he described were a tax plan i was asked to support, i'd say absolutely not",support,virtually everything he just said about my tax plan is inaccurate
everything comes out of your pocket and my pocket,support,everybody's affected by the debt
you talked about a risky scheme,support,"i'm a little offended by this word ""scheme"
we can succeed,equivalent,we have to succeed
we're going to have to prioritize,support,we've got to prioritize both our spending side and our tax policies to make sure that they're working for you
we should not allow this soviet filibuster to continue,support,i don't think we can wait until the next president is inaugurated and then uh - select a new team and then all the months of negotiating that will take place before we reach a decision
the coalition against saddam has fallen apart or it's unraveling,support,there's going to be a consequence should i be the president
cover people who are between jobs for up to six months,support,"in the next four years, i want to focus on the following things"
i think foreign aid needs to be used to encourage markets and reform,support,i believe we ought to have foreign aid
you are jeopardizing this program,attack,we are not going to jeopardize this program
we can build that bridge to the 21st century,support,"let's make education our highest priority so that every eight-year-old will be able to read, every 12-year-old can log onto the internet, every 18-year-old can go to college"
the question is who makes the decision,support,"and i think it has to be the woman, in the exercise of her own conscience and religious beliefs, that makes that decision"
"i think it is exports that have saved us when we're in a global slowdown, a connected global slowdown, a recession in some countries",support,i am for the north american free trade agreement
"ninety-seven percent of the small businesses make less than $250,000 a year, would not be affected",attack,he keeps trying to make you think that it's just some movie star or hedge fund guy or an actor
we've captured or killed thousands of al qaida and taken down the regimes of saddam hussein and the taliban,support,it's important that we stand up democratically elected governments as the only guarantee that they'll never again revert to terrorism or the production of deadly weapons
i think we just look at the facts,support,"we ask the people that are viewing tonight, are you better off than you were four years ago"
and there's extra money,support,i believe the people who pay the bills ought to get some money back
jim the have-nots are not doing well,support,this economy is not growing fast enough
i've worked on these things for 12 years,support,the ideas i express are mine
not mathematically possible,attack,you can cut tax rates by 20 percent and still preserve these important preferences for middle-class taxpayers
i would not agree to any agreement in which the united states security interest was not fully recognized and supported,support,i would not agree to any negotiations or any agreement that involved conduct on the part of the soviet union that we couldn't verify every day
i don't think he would have fallen had we not used the force,support,"yes, i think it is"
"i formed it, and i closed it down almost immediately because i thought the perception was bad",support,"when you talk about the breakfast club, as you know, that was perfectly legal"
i don't think there's any question about that,support,the vice president is questioning my patriotism
we are being murdered economically because we have too many dropouts,support,"i have devoted a major portion of this campaign to going across this country and looking for opportunities to go to white groups and african-american groups and latino groups, asian-american groups and say the same thing"
we ought to find out whether he's committed to democracy,support,i think this is an opportunity for the united states to test president putin of russia
they end up being worse than the people,support,isis has a good chunk of their oil
you heard what i was for,support,that's what i support
russia is new in terms of nuclear,attack,we are old
i just was watching some of the proceedings of the american bankers assn,support,i think the general feeling is most of the banks are sound
i knew that i lived in a country where i could get a college education,support,i was also hopeful
this administration has ignored latin america,support,if the united states had stronger prestige and influence in latin america it could persuade - as franklin roosevelt did in 1940 - the countries of latin america to join in an economic quarantine of castro
it would only give us a few months' worth of oil and the oil wouldn't start flowing for many years into the future,support,i think that is the wrong choice
"i may not be the most exciting politician, but i will work hard for you every day",support,i will fight for middle-class families and working men and women
president obama has not even put a credible plan on the table in any of his four years to deal with this debt crisis,support,leaders run to problem to fix problems
they're foreign lobbyists taking leaves,support,i don't believe that's in the american people's interest
change is coming,support,and john mccain is the leader of that reform
"that was the decision of the joint chiefs of staff, recommended to us and agreed to by the president",support,that is a fact
"i believe that you will find that the president, if it were a republican, as it would be in my case, would be able to get his program through that congress",support,"a president will be able to lead - a president will be able to get his program through - to the effect that he has the support of the country, the support of the people"
it is crippling their economy,support,their economy is in a shambles
"one of the biggest problems today is that the countries to our south are so desperately poor that these people who will almost lose their lives if they don't come north, come north despite all the risks",support,"we have been the safety valve, whether we wanted to or not, with the illegal entry here, in mexico, where their population is increasing and they don't have an economy that can absorb them and provide the jobs"
a choice between the future and the past,support,it is time to reach out for a better nation
"so, first and foremost, i will do everything i can to reach out to everybody",support,"democrats, republicans, independents, people across our country"
"i show how i pay for the health care, how we pay for the education",support,i am going to do it in a way that's fiscally sound
you also have investments outside the united states,support,look at your pension
i'd take on diplomatic isolation efforts,support,i'd make sure that ahmadinejad is indicted under the genocide convention
i don't believe we need a good liberal judge,support,i don't believe we need a good judge of that kind of definition on either side
he's for letting the oil companies into the arctic national wildlife refuge,equivalent,we differ on the arctic national wildlife refuge
this really underscores the problem with the american health-care system,support,this president has turned his back on the wellness of america
"so i say that we believe that our policies of military strength, of economic strength, of diplomatic firmness first will keep the peace and keep it without surrender",support,"you cannot fight a victory for communism or a strategy of victory for communism with the strategy, simply of holding the line"
"dana crist of lancaster said the day the tax bill is passed in congress, she will open a new factory with 40 or 50 or 60 employees in lancaster, pennsylvania",support,capital would flow out into the economy
mel carnahan in missouri had the finest record on diversity in any governor in the entire history of the state of missouri,support,i am part of an administration that has the finest record on diversity
"it is important for us to get the data in, to see what alternatives we might have to the fossil fuels, and make sure we know what we're doing",support,there are some explorations and things that we can consider in this area
"if you take care of an elderly in your home, you're going to get the personal exemption increased",support,everybody that pays taxes is going to get tax relief
these cards make sense,support,they're working
they do stand for something,support,i do think that parties are important in that they tell something about the program and something about the man
it would have,support,"that budget that you passed that i vetoed would have cut 50,000 kids out of headstart"
it is there,attack,"no, it's not"
we have lived through what jean kirpatrick called the bloodiest century in mankind's history,support,i think this is the most exciting time in the history of the world to be alive
that's not how you bring people together,attack,he called them coerced and the bribed
"as a matter of fact, the biggest single tax increase in our nation's history took place 1977",support,he has a plan for raising taxes
what they want is the ability to just focus on some really big challenges that we face right now,support,"the american people have become so cynical about our politics, because all they see is a tit- for-tat and back-and-forth"
it does seem to me that you've raised a very important point that needs to be addressed,support,you're going to have to watch it
i want a supreme court that understands because you’re wealthy and you can give more money to something doesn’t mean you have any more rights or should have any more rights than anybody else,support,so i have very clear views about what i want to see to kind of change the balance on the supreme court
they said that they were going to fund their no child left behind; $27 billion short today,support,they've seen a lot of it during their administration
"he paid $25,000 to the families of suicide bombers",support,"concern about iraq specifically focused on the fact that saddam hussein had been, for years, listed on the state sponsor of terror"
we have weakened our capacity to project power around the world,attack,"over the last eight years, this administration, along with senator mccain, have been solely focused on iraq"
we never change our beliefs,support,you cannot lead if you send mixed messages
"there has never been anything like this, where e-mails—and you get a subpoena, you get a subpoena, and after getting the subpoena, you delete 33,000 e-mails, and then you acid wash them or bleach them, as you would say, very expensive process.so we’re going to get a special prosecutor, and we’re going to look into it",support,"there has never been anything like it, and we’re going to have a special prosecutor"
i've spent a lot of money having him go through all those ethics forms and he will be doing my taxes over the next eight years while we're in the white house so that the american public can be sure it's all been taken care of,support,i have to tell you what we have done since i have hired a marvelous accountant
"we ought to be a beacon for nations who search for peace and who search for freedom, who search for individual liberty, who search for basic human rights",support,we can have that strength if we return to the basic principles
"he first said he didn't get an induction notice, then we find out that he did",support,these are inconsistencies
but that light is flickering today,support,john kerry and i believe that we can do better
we are quarantining mr. castro today,support,we can do what we did with guatemala
"you, yourself, said in the 1970's that we had a ""hemorrhage on our borders.''",support,it is the only real territorial threat to the american nation-state
we've got to do something about this,attack,it's the largest number ever this year and they'll break the record next year and every year for ten years running
we want to restore our public schools to the greatness they once represented,support,we want to reform the education system
he says on the one hand i am for it and on the other hand i may be against it,equivalent,"on the one hand, it's a good deal but on the other hand i'd make it better"
we don't want another iraq,support,that's not the right course for us
they would not have materialized for about nine to eighteen months,support,"in addition, the jobs would not be available right now"
i know why jobs come and why they go,support,i know how to make that happen
"there is any question about whether or not uh - there was criminal prosecution, but whether - whether you have told the american people your entire involvement in it",support,i think that you still have not gone into details about what your role in it was
texas ranks 49th out of the 50 states in health care -- in children with health care,support,there is a record here
"then we went in with the multinational force to help remove, and did remove, more than 13,000 of those terrorists from lebanon",support,"those terrorists had been violating their northern border consistently, and israel chased them all the way to there"
"i would call to your attention that we were in a war that wound down during those eight years, which of course made a change in military spending because of turning from war to peace",support,i question the figure about the decline in defense spending under the two previous administrations in the preceding eight years to this administration
i don't like to have it the private property of fanatics that want to overdo this thing,support,"you can overdo, i'm told, environmental cleaning up"
in this case it's about a firmer policy with cuba,support,this is a serious business
the prices we're paying providers without having the kind of big premium increases and out-of-pocket costs that the budget i vetoed would provide,support,i have proposed a budget which would put ten years on the life of the medicare trust fund
"when it comes to our national security, i mean what i say",support,"when it comes to this issue, when i say that we are going to find out exactly what happened, everybody will be held accountable"
"as for disagreeing with john mccain and how our administration would work, what do you expect?",support,"a team of mavericks, of course we're not going to agree on 100 percent of everything"
he would rather spend the family's $1800 and i would rather the strunks spend their own money,support,"under my plan, they get $1800 of tax relief"
"a smaller permanent military force, but one that is more mobile, well trained with high technology equipment",support,we need a new military and a new national security policy equal to the challenges of a post cold war era
we want a positive plan for growth and more jobs,support,we will stop it again
wrong,attack,he never apologizes or says he's sorry for anything
the president reversed it publicly while the president of south korea was here,support,the president of south korea went back to south korea bewildered and embarrassed
"last year, we had an almost $800 billion trade deficit",support,we had an $800 billion deficit
we have uh - in this last uh two years alone a hundred and twenty billion dollars total deficits under president ford,support,the best thing to do is to look at the record uh - of mr. ford's administration and mr. nixon's before his
the list goes on and on and on,support,that's what i had in mind
i also intend to double the number of special forces,support,"in my plan, i add two active duty divisions to the united states army, not for iraq, but for our general demands across the globe"
they already organized their retirement around these promises,support,we're saying don't change benefits for people 55 and above
we will do that,equivalent,we're going to do is roll back tax cuts
and barack obama at first said he would not do that,support,barack obama voted against funding troops there after promising that he would not do so
"how could you be commander-in-chief of the armed forces and have some kid say -- when you have to make a tough decision, as i did in panama or kuwait and then have some kid jump up and say, ""well, i'm not going to go",support,i just don't think that's right
help rural america,support,"as president, i would press for long-term, vigorous economic growth"
that saves manpower,support,"for instance, we're flying unmanned vehicles that can send real- time messages back to stations in the united states"
it is up,attack,it is not down
i figured out from day one i had to get along and i had to work across the aisle to get anything done,support,"as president, i will sit on day one -- actually, the day after i get elected -- i'll sit down with leaders -- the democratic leaders, as well as republican leaders, and continue -- as we did in my state"
he said it would hurt the economy,support,senator dole led the opposition to it
that's not reform,attack,you're opposed to truancy
we'll lose it when it's taken out of our paycheck before we even get it,support,we don't have an alternative
congress passed a paperwork reduction act,support,because of paperwork and regulation
we should be able to do that for our country,support,that's what this country should be doing
of course mr. nixon is wholly inaccurate when he says that the congress has not provided more funds in fact than the president recommended for national defense,attack,we've got to get help from the congress in order to do this
his running mate jack kemp once said that bob dole never met a tax he didn't hike,support,senator dole voted for $900 billion in tax increases
the plans are all over washington,support,we got the plans
that's how in banking it works,support,they will find a state
we were safer before president bush came to office,attack,we wouldn't have 10 times the numbers of forces in iraq that we have in afghanistan chasing osama bin laden
"they feel a sense of purpose, a sense of mission",support,the soldiers there have a higher rate of re-enlistment than anywhere else in the service
the big uruguay round of trade which will really open up markets for our agriculture particularly,support,i will keep on as president trying to get a successful conclusion to the gatt round
that's what i've done in texas,support,that's the kind of leadership style i'll bring to washington
i think we ought to take a different tack,support,i personally don't think that's the right kind of future for america
i think they have a legitimate role in gathering information,support,"the cia is there, it's meant to protect our government"
i want to see peace,support,i want to see growing peace in this country
by doing what we need to do to rebuild the alliances,support,i have a better plan to be able to fight the war on terror
88 percent of the people -- the president claims 11 million are already covered,support,we had a better idea
you’ll get to see it,equivalent,you’ll get to see it
"not e-verify, the whole thing",support,his top adviser on immigration is the guy who designed the arizona law
this is a middle-class issue,support,we've got to fight for it
it's okay for the wealthy to choose to send their kids to private schools,attack,he said that he was not for choosing -- giving the parents the right to choose to send their children to public schools
that is not a right strategy for us to move forward,attack,"if you take such an unbalanced approach, then that means you are going to be gutting our investments in schools and education"
"mexican jobs will eventually come to $7.50 an hour, ours will eventually go down to $7.50 an hour",support,"the core problem that faces everybody in manufacturing in this country, it's that agreement that's about to be put into practice"
faced with the possibility that terrorists could smuggle a deadly biological agent or a nuclear weapon into the middle of one of our own cities,support,we find ourselves in the midst of a conflict unlike any we've ever known
everybody knows now we are in the worst financial crisis since the great depression,support,"a lot of you i think are worried about your jobs, your pensions, your retirement accounts, your ability to send your child or your grandchild to college"
"that's what got me into this race, so we could rebuild the american economy",support,we have to be the strongest economic power in the world
"i believe we ought to measure a lot, three, four, five, six, seven, eighth grade",support,that's why i'm so strong for accountability
we just have a different set of convictions about how you make america safe,support,i can make american safer than president bush has made us
more sometimes than people in foreign countries,support,"there are seniors who pay more for their prescriptions than a lot of other people, more than their pets, sometimes"
"we went after medical fraud in medicare and medicaid very aggressively, more aggressively than ever before, and have saved tens of billions of dollars, $50 billion of waste taken out of the system",support,i worked with democrats and republicans to cut a trillion dollars out of our discretionary domestic budget
it's one of the reasons why we have a drug education and prevention program that is reaching out and helping youngsters all over our state,support,i'm also very tough on violent crime
you can't convert from potato chips to airplanes in an emergency,support,you've got to make it here
"it’s with him and with the hateful and divisive campaign that he has run, and the inciting of violence at his rallies, and the very brutal kinds of comments about not just women, but all americans, all kinds of americans",attack,my argument is not with his supporters
i've seen the family values of my people in arkansas,support,i know a lot about that
the only hole it would blow is a hole in the plans of this administration to try to tinker with the tax code and defend the indefensible,attack,it would blow a hole in the deficit
one thing i’d do is get rid of carried interest,support,"one of the greatest provisions for people like me, to be honest with you, i give up a lot when i run"
"to give the decisions back to the doctors and nurses and give you a right of appeal to somebody other than the hmo or insurance company, let you go to the nearest emergency room without having to call an hmo before you call 911, to let you see a specialist if you need to",support,they like it because it doesn't accomplish what i think really needs to be accomplished
"as opposed to politicizing an issue like medicare, in other words, holding it up as an issue, hoping somebody bites it and try to clobber them over the head with it for political purposes, this year, in the year 2000, it's time to get it done once and for all",support,same with social security
i believe in 1960 and sixty-one and two and three we have a rendezvous with destiny,support,i believe it incumbent upon us now to do that
we have all these people just up the road in los angeles county,support,what i try to do is to support policies that would respect religion and then help parents inculcate those values to their children
"last year in the primary, he expressed his passion",support,he is very passionate
you can clear it up by simply repeating i support the right of a woman to choos,attack,dan did not say i support the right of a woman to choose
"i raise the child-care credit by $1,000 for families",support,i have a tax cut
"these countries can't develop unless all the population, not just half of it, is developing",support,"number three, we do have to make sure that we're protecting religious minorities and women"
"i don't understand how we ended up invading a country that had nothing to do with 9/11, while osama bin laden and al qaeda are setting up base camps and safe havens to train terrorists to attack us",support,there are some things i don't understand
"this is wrong, and we have to do something about it",support,what we do is what the attorney-general of the united states did under the direction of the president: call in the owners of chain stores and get them to take action
i simply think it's wrong to take money away from programs that are helping build basic skills for kids,support,"to take money away from programs that are helping fund the school lunch program, that are helping to fund the other programs, that are helping our schools to improve their standards"
i want them to say these were the years when the tide came in; these were the years when the united states started to move again,support,"it is to that great task, if we're successful, that we will address ourselves"
that's what america has been doing,support,we can get them all done
"when it comes to public ethics, he has a responsibility",support,"the president of the united states, the highest office in the world, the most important office in the world, has a responsibility to young people, as we talked about earlier"
our analysis indicates that something in the magnitude of about one hundred fifty to two hundred thousand jobs would uh - be made available,support,"the bills that i vetoed, the one for an additional $6 billion, was not a bill that would have solved our unemployment problems"
"i have recommended to the congress that we develop the uranium enrichment plant at portsmouth, ohio, which is a publicly owned - u.s. government facility and have indicated that the private program which would follow on in alabama is one that may or may not uhh - be constructed",support,the foreign policy of the united states meets the highest standards of morality
we picked people who had an open mind,equivalent,we pick people who are open-minded
certainly the church has the right to take a position on moral issues,support,"to try to tell the parishioners of any church, of any denomination, how they should vote, or for whom they should vote, i think violates the principle of separation of church and state"
we offered first to get rid of all those - we tried to reduce the ss-18's and those weapons,support,"we said if that's not good enough, there is flexibility, let's talk about the bombers and planes"
"our allies know, -- they're not certain what we're going to do, what our reaction, what our response is going to be",support,we've lost credibility around the world
we kicked this man out of kuwait,support,i think the biggest dividend of making these tough calls is the fact that we are less afraid of nuclear war
they had mastered the nuclear fuel cycle under the bush administration,support,"with respect to iran, when i became secretary of state, iran was weeks away from having enough nuclear material to form a bomb"
i don't have a plan to tax -- or increase taxes,support,i'm not going to increase taxes
"if i become president, i'll get america working again",equivalent,i will
i believe it's not just a matter of idealism,attack,this is a deviation from idealism
"in the votes at the u.n., particularly the vote dealing with red china last saturday, we received the support on the position that we had taken of only two african countries - one, liberia, which had been tied to us for more than a century, and the other, union of south africa, which is not a popular country in africa. every other ca- african country either abstained or voted against us",support,there have been several indications that our prestige is not as high as it once was
i've been there,support,massachusetts schools are ranked number one in the nation
he gave a speech,support,the president likes to say he has a plan
i agree with that,equivalent,i think ross is right and that we do need some more restrictions on lobbyists
maybe because you haven't paid any federal income tax for a lot of years,attack,"we don't have the money, because it's been squandered on so many of your ideas"
i'm going to get it right for those soldiers,support,i have a plan to do it
"i truly take an oath as a public official to represent all the people in my district, not only the catholics",support,i will resign my job
50 million of you won't receive it,attack,he says he's going to give you tax cuts
"these are the questions in these areas that the north and south, east and west are entitled to know",equivalent,these are the great questions: equality of education in school
we've taken money out of the procurement budget to support other ventures,support,we have not been investing in the future of the u.s. military
it's time for a change,attack,what they like to do is point the finger of blame with one hand and hand out pink slips with the other hand
he has no record on reforming of health care,equivalent,no record at all
i thought it would be better for the country than it was,support,that's quite different than taking a position where you know it's best for you
i felt very strongly about it,support,i was opposed to the war
he didn't demagogue them,support,"mitt romney was governor of massachusetts, where 87 percent of the legislators he served, which were democrats"
"i would suggest that after premier kush- khrushchev's uh - performance in the united nations, compared with president eisenhower's eloquent speech, that at the present time communist prestige in the world is at an all-time low and american prestige is at an all-time high",support,"now that, of course, is just one factor, but it's a significant one"
some of this $700 billion ends up in the hands of terrorist organizations,support,stop sending $700 billion a year overseas
they add another huge obligation on top of it that future generations will have to pay,support,"with respect to al gore and joe's plan, they don't reform social security"
you have to develop consensus or you can't get anything done,support,we can't get anything done
it's sort of like what senator dole did when he sponsored the americans with disabilities act and said to certain stores,support,affirmative action is making that extra effort
"last report on new purchases, it's the lowest since 1982",support,the result is exactly what we see
we've seen the unemployment rate come down dramatically,support,the good news is we're making progress
i disagree,attack,"we're not going into a recession in this country, economically"
"recommendations which would not be binding, but nevertheless would have great force of public opinion behind them",support,the power of the fact-finding commission to make recommendations
it starts with making sure every child learns to read,support,"to make sure our society is as hopeful as it possibly can be, every single child in america must be educated"
the world would have been a lot worse off,support,"there's just no doubt in my mind we would rue the day, had saddam hussein been in power"
"telling the patient, you need a more expensive test",support,i believe that doctors should not be able to be kicked out of managed care plans just because they tell the patients what they need
we have an obligation to protect you,support,president clinton did the same thing
we're going to make sure that people we trade with around the world play by the rules,support,i will label china a currency manipulator
"we have a strong safety net, and there needs to be a safety net in america",support,"the question is, are people getting health care"
we also want to say that insofar as is humanly possible the banking industry itself should pay for the cost of any bank failures,support,we have to enforce the law in 2 ways
they haven't come together,support,"as you hear from intelligence sources even today, the -- the insurgents are highly disparate"
i am not going to have any more debates,equivalent,i will not agree to another debate
i believe in this goal and effort with all my heart,support,"i believe that our future as a nation depends upon whether or not we can break down these barriers that have been used to pit group against group, and bring our people together"
that's the way eisenhower and reagan and kennedy and others did it,support,"i know, as i think you do, that our country is strongest when we lead the world, when we lead strong alliances"
if we trust workers,support,if we understand the power of the compounding rate of interest
"if you've got health insurance, it doesn't mean a government takeover",support,"if you don't have health insurance, we're essentially setting up a group plan that allows you to benefit from group rates that are typically 18 percent lower than if you're out there trying to get insurance on the individual market"
"we had put them back in the box, so to speak",support,at the end of the war we had pretty well decimated their military
"we're going to fight for the middle-class, average, everyday american family like mine",support,"i want to assure you that john mccain and i, we're going to fight for america"
"person-to-person, person-by-person, unit-by-unit, this is the most powerful and effective military",support,al gore and i will do whatever is necessary to keep it that way
you deserve better,support,"the choice is clear, and the choice rests with you"
our water is cleaner now,support,let me start with texas
we absolutely have to make more progress,support,we're going to keep on pressing
"if you want to keep doing business and selling your products over here, you're going to have to quit pirating our cds",support,"they agreed to do things and verify that they had done it, which will make the problem much better"
that cost us revenue,support,"you might remember the stock market started to decline dramatically six months before i came to office, and then the bubble of the 1990s popped"
it shouldn't happen in america,equivalent,it shouldn't happen in america
our dollar's at an all time low against some foreign currencies,support,we're weak in the world
some of our troops are not well-equipped,support,morale in today's military is too low
"in an obama-biden administration, there will be absolutely no distinction from a constitutional standpoint or a legal standpoint between a same-sex and a heterosexual couple",support,"the fact of the matter is that under the constitution we should be granted -- same-sex couples should be able to have visitation rights in the hospitals, joint ownership of property, life insurance policies, et cetera"
"when they sell into us, there's no tax",support,we're on a different system
they want to be able to make sure their kids are going to a good school,support,their aspirations are similar to young people's here
about a brighter future for america,support,that's what my campaign is about
"if you have a child, you got a $1,000 child credit",support,you've got more money in your pocket as a result of the tax relief we passed and he opposed
"no, diplomacy is very important",attack,but diplomacy is hard work by serious people
it did not mention west virginia,support,our bill was far more effective
"i have a plan that will take the catastrophic cases out of the system, off your backs",support,i have a plan
i won't do that,equivalent,i'm not going to do that
i'm a product of a public school,attack,you attended a private school for some time in your life
"he said, no, she has leukemia, acute leukemia, a few weeks to live",support,i don't think that you make an exception based on medical knowledge at the time
"if we can do that and do it in a way that gets deeper cuts on the soviet side, which is where they ought to come from",support,i strongly supported
if i should serve out my term,support,to join me in being vice president
that shows that there's been more growth in this administration than in its predecessor,support,"i believe that we have the secret for progress, we know the way to progress"
so we won’t make them famous,support,"i won’t mention their names, because they’re rich, but they’re not famous"
it stripped us of manufacturing jobs,attack,"because nafta, signed by her husband, is perhaps the greatest disaster trade deal in the history of the world"
you got the double meaning there,support,"but at the end it was us, backus"
he’s a very confused guy,support,he thinks he’s running against somebody else
sometimes the united states has to act alone or at least has to act first,support,i still believe it was the right thing to do
"my friend, senator spencer abraham of michigan, is pushing a law to make sure that arab-americans are treated with respect",support,racial profiling isn't just an issue at local police forces
that's not good for our country,support,"bill clinton and i believe that the united states of america has its brightest days ahead, and we will see them even brighter if we promote diversity and harmony among all our people"
wouldn't it make a lot more sense if the government let them keep their own money there in the first place?,support,"what i have been advocating is, why don't we start with the federal government turning back tax sources to states and local governments, as well as the responsibilities for those programs?"
they're afraid that some lawyer's going to come along and get a big lawsuit,support,"people don't dare -- medical practitioners, to help somebody along the highway that are hurt"
you can't have it both ways,support,just tell us the truth
it's an election about the course of america,support,what kind of america do you want to have for yourself and for your children
"where it appears to be growing, it's minimum-wage jobs",support,right now we have a flat to deteriorating job base
there is a determined effort by the russian air force to destroy aleppo in order to eliminate the last of the syrian rebels who are really holding out against the assad regime,support,russia hasn’t paid any attention to isis
show me one accomplishment toward medicare that he accomplished,attack,he's been in the united states senate 20 years
i have a better plan for homeland security,support,i can make american safer than president bush has made us
i think we gave them a good opportunity,support,i don't think we should go any further
"when you came to office, just over $10 trillion in debt, now $16 trillion in debt",support,i certainly don't want to go back to the policies of the last four years
"in crawford, texas, jiang zemin and i agreed that the nuclear-weapons-free peninsula, korean peninsula, was in his interest and our interest and the world's interest",support,"we began a new dialogue with north korea, one that included not only the united states, but now china"
these islands that we're now talking about are not worth the bones of a single american soldier,support,"i think, we should make it very clear the disagreement between mr. nixon and myself"
only 10 percent of the people who are -- have been affected by this whole switch from chapter 7 to chapter 13,support,mortgage-holders didn't pay the price
you tell tony blair we're going alone,support,tell tony blair we're going alone
"i want younger workers to be able to manage some of their own money, some of their own payroll taxes in the private sector under certain guidelines to get a better rate of return on your own money",support,i want to finally get something done on social security
this is the most dangerous technology that we possess,support,"and to give them technology of this kind, i disagree with"
"i said, let's fix this system",support,that's not true
we have enough worries over there without having to worry about that,attack,it gives us much more power and freedom than to be worried about what goes on in the middle east
we cannot guarantee equal results in america,support,that's not how america became the greatest country on the face of the earth
i think that trade is an important issue,support,"we need to have smart, fair trade deals"
